ID,KR,EN,JA,CN
story_234,“.....특히 너는 더 그렇고.”,“...Especially you.”,「……特に君は、なおさらね。」,“……尤其是你。”
story_235,그때—,Then—,そのとき――,就在那时——
story_236,"갑자기, 심장이 세게 요동쳤다.","Suddenly, my heart lurched violently.",突然、胸が大きく波打った。,突然间，我的心脏猛地一颤。
story_237,“...읏...!”,“...Ah...!”,「……っ……！」,“……唔……！”
story_238,“...아이야?”,“...Little one?”,「……君？」,“……孩子？”
story_239,(이건 내 감정이 아니야...),(These aren't my feelings...),（これは私の感情じゃない……）,（这不是我的感情……）
story_240,(분명—),(Then this must be—),（まさか――）,（难道说——）
story_241,나는 그를 바라보며 말했다.,"Looking at him, I spoke.",私は彼を見つめながら口を開いた。,我看着他，开口说道。
story_242,“...지금... 신님이에요?”,"“...Is this you, Mister God?”",「……今の、神様なんですか？」,“……刚才那是您的感情吗，神明大人？”
story_243,그가 부끄러운 듯 고개를 끄덕였다.,"He nodded, looking faintly embarrassed.",彼は少し気まずそうに頷いた。,他有些不好意思地点了点头。
story_244,"“...조금, 이상한 기분이 들어서.”",“...I was feeling a little strange.”,「……少し、妙な気分になってしまってね。」,“……只是突然觉得有些奇怪。”
story_245,"그의 감정이, 그대로 흘러 들어온다.",His emotions flowed straight into me.,彼の感情が、そのまま流れ込んでくる。,他的情绪，毫无阻碍地流入了我的心里。
story_246,불안.,Anxiety.,不安。,不安。
story_247,그리고...,And...,そして……,还有……
story_248,가슴 한쪽이 서서히 저려오는 듯한 감각.,A faint ache slowly spreading through one side of his chest.,胸の奥がじわりと痛むような感覚。,仿佛胸口深处正一点点泛起酸涩的感觉。
story_249,"“...이건, 그냥 둘 수 있는 상태가 아닌 것 같구나.”",“...I don't think this is something we can simply leave alone.”,「……これは、放っておける状態ではなさそうだね。」,“……看来这已经不是放着不管就行的情况了。”
select_4_1,그럼 어떻게 해야 하죠?,Then what should we do?,それじゃ、どうすればいいんですか？,那该怎么办？
select_4_2,...이 상태로도 괜찮지 않아요?,...Is it really so bad to leave things as they are?,……このままじゃ駄目なんですか？,……维持现在这样不行吗？
story_256,“방법을 찾아야겠지.”,“We'll have to find a solution.”,「方法を探さないといけないね。」,“看来得想办法解决才行。”
story_257,"“이건 분명, 정상적인 상황이 아니니까.”",“This clearly isn't normal.”,「これは明らかに、普通の状態じゃないからね。」,“毕竟这显然不是什么正常情况。”
story_258,"“지금은 괜찮을지도 모르지만, 이런 경우는 본 적도, 들은 적도 없단다.”","“It may seem alright for now, but I've never seen or even heard of anything like this before.”",「今は問題ないかもしれない。でも、こんなことは見たことも聞いたこともないんだ。」,“现在或许还没什么问题，但这种情况我从未见过，也从未听说过。”
story_259,“아마도... 이 상태가 계속된다면 분명 문제가 생길 거야.”,“And if it continues like this... I'm certain it will eventually cause problems.”,「おそらく……この状態が続けば、きっと何か問題が起こるだろう。」,“恐怕……如果这种状态持续下去，迟早会出问题的。”
story_260,그가 잠시 생각하는 듯 정적이 흘렀다.,A brief silence passed as though he were deep in thought.,彼が考え込むように、しばし沈黙が流れた。,他似乎思索了片刻，周围陷入了短暂的沉默。
story_261,“한 가지 방법이 있긴 하겠구나.”,“There may be one way.”,「ひとつだけ、方法があるかもしれないね。」,“或许有一个办法。”
story_262,“어떤 방법이요?”,“What kind of method?”,「どんな方法ですか？」,“什么办法？”
story_263,“...천계에 가보는 거야.”,“...We go to the Heavenly Realm.”,「……天界へ行ってみるんだ。」,“……去天界。”
story_264,“천계요...?”,“The Heavenly Realm...?”,「天界……ですか？」,“天界……吗？”
story_265,그가 고개를 끄덕이며 말했다.,He nodded as he spoke.,彼は頷きながら言った。,他点了点头说道。
story_266,"“신들 중에서도, 이 현상을 설명할 수 있는 존재는”","“Among the gods, there's only one who might be able to explain what's happening to us.”",「神々の中でも、この現象を説明できる方は――」,“在众神之中，能够解释这种现象的人——”
story_267,“...그 분 밖에 없을 테니까.”,“...because there's no one else.”,「……あの方しかいないだろうからね。」,“……恐怕只有那位大人了。”
story_268,“저도... 같이 갈 수 있어요?”,“Can I... go there too?”,「私も……一緒に行けますか？」,“我也……可以一起去吗？”
story_269,“평소의 상태였다면 문제없었겠지만.”,"“Under normal circumstances, that wouldn't be a problem.”",「普段の状態なら問題なかっただろうけれど。」,“如果是平时的话，倒没什么问题。”
story_270,"“...지금은, 조금 무리가 있을지도 모르겠구나.”","“...But right now, it may be a little difficult.”",「……今は、少し難しいかもしれないね。」,“……但以你现在的状况，恐怕有些勉强。”
select_5_1,시도해보는 게 좋을 것 같아요.,I think it's worth trying.,試してみた方がいいと思います。,我觉得还是试试看比较好。
select_5_2,...위험한 거 아니에요?,...Isn't it dangerous?,……危なくないんですか？,……不会有危险吗？
story_271,“시도해보는 게 좋을 것 같아요.”,“I think it's worth trying.”,「試してみた方がいいと思います。」,“我觉得还是试试看比较好。”
story_272,"“...이 상태로는, 계속 살 수 없으니까.”",“...I can't keep living like this forever.”,「……このままでは、生き続けることもできませんから。」,“……毕竟再这样下去，我也无法继续活下去。”
story_273,“...그래.”,“...You're right.”,「……そうだね。」,“……说得也是。”
story_274,그가 부드럽게 미소 지었다.,He smiled gently.,彼は優しく微笑んだ。,他温柔地笑了。
story_275,"“용감하구나, 아이야.”","“You're brave, little one.”",「君は勇敢だね。」,“你很勇敢，孩子。”
story_276,“...위험한 거 아니에요?”,“...Isn't it dangerous?”,「……危なくないんですか？」,“……不会有危险吗？”
story_277,“...위험하지 않다고는 못 하겠구나.”,“...I can't say it isn't.”,「……危険じゃないとは言えないね。」,“……我不能说没有危险。”
story_278,"“...하지만, 다른 방법이 없단다.”",“...But I'm afraid we have no other choice.”,「……だが、他に方法がないんだ。」,“……但除此之外，已经没有别的办法了。”
story_279,그가 씁쓸하게 웃었다.,A faintly bitter smile crossed his face.,彼は少し寂しげに微笑んだ。,他露出了一个带着几分苦涩的微笑。
story_280,"잠시 후,","A little while later,",しばらくして、,过了一会儿，
story_281,그가 밤하늘을 올려다보며 말했다.,He looked up at the night sky and spoke.,彼は夜空を見上げながら言った。,他抬头望向夜空，缓缓开口。
story_282,“이곳에서 천계로 가는 길이 열리는 건 한 달에 한 번뿐이란다.”,“The path from here to the Heavenly Realm opens only once a month.”,「ここから天界へ続く道が開くのは、月に一度だけなんだ。」,“从这里通往天界的道路，一个月只会开启一次。”
story_283,"“보름달이 뜨는, 바로 오늘 같은 날이지.”",“On a night when the full moon rises. A night just like tonight.”,「満月が昇る夜――ちょうど今夜のような日だね。」,“就在满月升起的夜晚——就像今晚这样。”
story_284,연한 하늘빛의 머리카락이,His pale sky-blue hair,淡い空色の髪が,那浅淡如天空般的发丝
story_285,달빛을 머금어 은은하게 빛났다.,shimmered softly beneath the moonlight.,月明かりを受けて柔らかく輝いていた。,沐浴着月光，泛着柔和的光泽。
story_286,보름달과 그의 미소가 퍽 잘 어울려 이상하리 만큼 눈을 뗄 수 없었다.,The full moon and his smile suited each other so perfectly that I couldn't look away.,満月と彼の微笑みは不思議なくらいよく似合っていて、目を逸らせなかった。,满月与他的微笑意外地相称，让人无法移开视线。
story_287,그 모습을 보자 심장이 다시 두근거렸다.,"At the sight of him, my heart began racing again.",その姿を見た途端、胸がまた高鳴り始めた。,看到那副模样，我的心又不争气地加速跳动起来。
story_288,“...아이야.”,“...Little one.”,「……君。」,“……孩子。”
story_289,"“그...심장이, 꽤 크게 울리는구나.”",“Um... your heart is beating rather loudly.”,「その……ずいぶん胸が高鳴っているようだね。」,“那个……你的心跳，好像相当快呢。”
story_290,"그도 느꼈는지,","Perhaps he had felt it too,",彼も感じ取ったのだろうか、,或许他也感受到了，
story_291,조금 부끄러운 듯 시선을 피했다.,"he looked away, seeming slightly embarrassed.",少し気恥ずかしそうに視線を逸らした。,他有些不好意思地移开了视线。
story_292,"(정말, 쓸데없이 솔직해서는...!)",(Honestly... why does he have to be so honest?!),（もう……変なところで正直なんだから……！）,（真是的……这种时候倒是坦率得过分……！）
story_293,"“...어, 얼른 가요...!”",“L-Let's just go already...!”,「は、早く行きましょう……！」,“快、快点走吧……！”
story_294,그가 손바닥 위에 신력을 모아,"He gathered divine power in the palm of his hand,",彼が手のひらに神力を集め、,他将神力汇聚在掌心，
story_295,달을 향해 가볍게 흩뿌리자,then lightly scattered it toward the moon.,月へ向かって軽く振りまくと、,又朝着月亮轻轻洒去，
story_296,"달빛이, 서서히 짙어지기 시작했다.",The moonlight slowly began to deepen.,月明かりが、ゆっくりと濃くなり始めた。,月光开始渐渐变得浓郁。
story_297,"그러자, 흩어져 있던 빛들이","Then, the scattered lights",すると、散らばっていた光たちが,于是，四散的光芒
story_298,하나둘 모여 우리의 발끝으로 흘러내렸다.,gathered one by one and flowed down to our feet.,ひとつ、またひとつと集まり、私たちの足元へ流れ落ちてきた。,一点一点汇聚起来，流淌到我们的脚边。
story_299,"그리고, 그 빛이 신력에 반응하며","Then, responding to his divine power,",そして、その光は神力に反応して、,随后，那道光回应着神力，
story_300,길처럼 이어졌다.,it stretched out like a path.,道のように続いていった。,如道路一般延展开来。
story_301,놀라운 광경에 가만히 바라볼 수밖에 없었다.,"I could only stand there, staring at the breathtaking sight.",あまりに不思議な光景に、ただ見つめることしかできなかった。,面对这不可思议的景象，我只能怔怔地望着。
story_302,“...이건...”,“...This is...”,「……これは……」,“……这是……”
story_303,“너무 예뻐요...”,“It's so beautiful...”,「すごく綺麗です……」,“太美了……”
story_304,내 말에 그는 온화하게 웃었다.,"At my words, he smiled gently.",私の言葉に、彼は穏やかに微笑んだ。,听到我的话，他温和地笑了。
story_305,“...다행히.”,"“...Fortunately,”",「……どうやら。」,“……幸好，”
story_306,“길이 열렸구나.”,“the path has opened.”,「道は開いたようだね。」,“道路已经开启了。”
story_307,그가 조용히 손을 내밀었다.,He quietly held out his hand.,彼は静かに手を差し出した。,他静静地伸出了手。
story_308,나는 잠시 망설이다 그 손을 잡았다.,"After a moment of hesitation, I took it.",私は少しためらってから、その手を取った。,我犹豫了片刻，握住了他的手。
story_309,"빛으로 이루어진 길 위를, 천천히 함께 걸어갔다.","Together, we slowly walked along the path of light.",光でできた道の上を、私たちはゆっくりと歩いていった。,我们一起慢慢走上了那条由光组成的道路。
story_310,"달에 가까워질수록,","As we drew closer to the moon,",月へ近づくにつれて、,随着我们逐渐接近月亮，
story_311,빛이 점점 강해져 왔다.,the light grew brighter and brighter.,光はますます強くなっていった。,光芒也变得越来越耀眼。
story_312,“읏...!”,“Ah...!”,「っ……！」,“唔……！”
story_313,(빛이 너무 밝아...! 눈을 못 뜨겠어...!),(It's too bright...! I can't open my eyes...!),（眩しすぎる……！目が開けられない……！）,（太亮了……！我根本睁不开眼……！）
story_314,눈을 제대로 뜰 수 없을 만큼 강한 빛이 쏟아져 내렸다.,Light poured down so intensely that I could barely keep my eyes open.,目を開けていられないほど強い光が降り注いだ。,强烈的光芒倾泻而下，耀眼得让人几乎无法睁开眼睛。
story_315,“이런... 너에게는 조금 무리일 수도 있겠구나.”,"“Oh dear... This may be a little too much for you, little one.”",「これは……君には少し厳しいかもしれないね。」,“这样啊……对你来说，或许还是有些勉强了。”
story_316,"“나를 믿고, 눈을 감고 따라와 주겠니?”","“Trust me, close your eyes, and follow me.”",「私を信じて、目を閉じたままついて来てくれないか？」,“相信我，闭上眼睛跟着我走，好吗？”
story_317,"내 손을 잡은 그의 손에, 조금 더 힘이 들어갔다.",His hand tightened slightly around mine.,私の手を握る彼の手に、少しだけ力が込められた。,握着我的那只手，稍稍用力了几分。
story_318,“...알겠어요.”,“...Alright.”,「……分かりました。」,“……好。”
story_319,"나는 눈을 감은 채, 그가 이끄는 방향으로 걸음을 옮겼다.","Keeping my eyes closed, I followed where he led me.",私は目を閉じたまま、彼に導かれる方向へ歩き出した。,我闭着眼睛，顺着他引导的方向迈开脚步。
story_320,잠시 후—,A little while later—,しばらくして――,片刻之后——
story_321,“도착했단다.”,"“We've arrived, little one.”",「着いたよ、君。」,“到了，孩子。”
story_322,“...눈을 떠 보렴.”,“...Open your eyes.”,「……目を開けてごらん。」,“……睁开眼看看吧。”
story_323,그의 부드러운 목소리와 함께,"At the sound of his gentle voice,",彼の優しい声に導かれるように、,随着他温柔的声音响起，
story_324,"천천히 눈을 뜨자,","I slowly opened my eyes,",私はゆっくりと目を開いた。,我缓缓睁开了眼睛。
story_325,눈앞에는 현실과는 전혀 다른 풍경이 펼쳐져 있었다.,Before me lay a sight unlike anything in the mortal world.,目の前には、現実とはまるで異なる景色が広がっていた。,映入眼帘的，是与现实截然不同的景象。
story_326,"거대한 궁궐, 코앞에 있는듯한 거대한 달과 빛으로 이루어진 거리.","A vast palace, an enormous moon that seemed close enough to touch, and streets woven from light.",巨大な宮殿。手を伸ばせば届きそうなほど近くに見える大きな月。そして光でできた街並み。,巨大的宫殿、仿佛近在咫尺的巨大明月，以及由光芒构筑而成的街道。
story_327,“...와...”,“...Wow...”,「……わぁ……」,“……哇……”
story_328,나도 모르게 감탄이 새어 나왔다.,An awestruck breath escaped my lips before I knew it.,思わず感嘆の声が漏れた。,我不由自主地发出了赞叹。
story_329,"두리번거리며 그를 따라 커다란 궁궐 안으로 들어가자,","Looking around curiously, I followed him into the vast palace.",辺りを見回しながら彼について大きな宮殿へ入ると、,我一边四处张望，一边跟着他走进了宏伟的宫殿。
story_330,높은 자리에 앉아 있는 한 존재가 눈에 들어왔다.,A figure seated upon a lofty throne came into view.,高い座に腰掛けるひとりの存在が目に入った。,一位端坐于高位之上的存在映入眼帘。
story_331,"어린 모습이었지만,","Though they appeared young,",見た目は幼いが、,虽然外表看起来年幼，
story_332,그 눈빛만은 가볍게 넘길 수 없는 무게를 지니고 있었다.,there was an undeniable weight in their gaze.,その眼差しには軽く受け流せない重みがあった。,但那双眼眸中却蕴含着令人无法忽视的威严。
story_333,“...오랜만이구나.”,“...It has been a long time.”,「……久しいな。」,“……许久不见了。”
story_334,"“헌데, 그 아이는.”",“But that child...”,「だが、その子は――」,“不过，那个孩子……”
story_335,"그 신의 시선이, 싸늘하게 나를 향했다.","The god's gaze fell upon me, cold and piercing.",その神の視線が、冷たく私へ向けられた。,那位神明冰冷的目光落在了我的身上。
story_336,마치 전부 꿰뚫어 보는 것 같은 눈이었다.,It felt as though those eyes could see through everything.,まるですべてを見透かしているような目だった。,那双眼睛仿佛能看穿一切。
story_337,"“...결국, 이렇게 되었구나.”",“...So it has come to this after all.”,「……やはり、こうなったか。」,“……终究还是变成这样了吗。”
story_338,“...?”,“...?”,「……？」,“……？”
story_339,"“...기억하지 못하는 것이, 오히려 다행일 수도 있겠지.”",“...Perhaps it is a blessing that you do not remember.”,「……覚えていないことが、むしろ幸運なのかもしれぬな。」,“……或许，无法想起那些事反而是一种幸运。”
story_340,“...무슨 말이에요?”,“...What do you mean?”,「……どういう意味ですか？」,“……您这是什么意思？”
story_341,"“...무슨 말씀이십니까, 천제님.”","“...What do you mean by that, Your Majesty?”",「……それは、どういう意味でしょうか。天帝様。」,“……您这话是什么意思，天帝大人。”
story_342,천제라는 그 신은 뜻을 알 수 없는 작은 웃음을 보였다.,The god called the Heavenly Emperor gave a faint smile whose meaning I couldn't read.,天帝と呼ばれたその神は、真意の分からない小さな笑みを浮かべた。,被称为天帝的神明露出了一抹让人看不透的淡淡笑意。
story_343,"“너는...이미 한 번, 선택한 적이 있지 않느냐.”","“You have... already made that choice once before, have you not?”",「お前は……すでに一度、選んでいるではないか。」,“你……不是早已做出过一次选择了吗。”
story_344,“하연.”,“Hayeon.”,「ハヨン。」,“河然。”
story_345,"그 말이 떨어지는 순간 심장이, 세차게 울렸다.","The moment those words left his lips, my heart lurched violently.",その言葉が発せられた瞬間、胸が大きく波打った。,那句话落下的瞬间，我的心脏猛地一震。
story_346,“...윽...!”,“...Ugh...!”,「……っ……！」,“……唔……！”
story_347,“...아이야...”,“...Little one...”,「……君……」,“……孩子……”
story_348,이건 내 감정이 아니다.,These weren't my feelings.,これは私の感情じゃない。,这不是我的感情。
story_349,...그의 감정이다.,...They were his.,……彼の感情だ。,……而是他的。
story_350,그의 불안과 설명할 수 없는 흔들림이,His anxiety and an indescribable turmoil,彼の不安と、言葉にできない揺らぎが,他的不安，以及那无法言喻的动摇
story_351,계속해서 전해져 왔다.,continued to flow into me.,絶えず伝わってきた。,不断传递到我的心中。
story_352,“그 연결은 우연이 아니다.”,“That connection is no coincidence.”,「その繋がりは偶然ではない。」,“那份联系并非偶然。”
story_353,“이미 한 번 이어졌던 인연이...다시 이어진 것뿐.”,“A bond that was once joined has simply been connected once more.”,「一度結ばれた縁が……再び結ばれただけだ。」,“不过是曾经相连的缘分，再次连结在了一起而已。”
story_354,“...연결...이요...?”,“...A connection...?”,「……繋がり……ですか……？」,“……联系……吗……？”
story_355,“너희 둘 사이에 있는 그것 말이다.”,“The one that exists between the two of you.”,「お前たち二人の間にある、それのことだ。」,“就是存在于你们两人之间的那份联系。”
story_356,"“감정, 생명, 그리고...기억까지.”","“Your emotions, your lives, and even your memories.”",「感情、命、そして……記憶までも。」,“感情、生命，甚至连记忆也是如此。”
story_357,“기억...이라뇨...?”,“...Memories?”,「……記憶……ですか……？」,“……记忆……吗……？”
story_358,"“잊혀진 것은, 사라진 것이 아니다.”",“What is forgotten is not truly gone.”,「忘れられたものは、消えたわけではない。」,“被遗忘之物，并不等于消失。”
story_359,"“단지, 닿지 않는 곳에 있을 뿐.”",“It merely rests beyond your reach.”,「ただ、手の届かぬ場所にあるだけだ。」,“只不过存在于你无法触及之处罢了。”
story_360,“...이 연결을 끊는 방법은... 있는 겁니까.”,“...Is there a way to break this connection?”,「……この繋がりを断つ方法は……あるのですか。」,“……有办法斩断这份联系吗？”
story_361,“...있다.”,“...There is.”,「……ある。」,“……有。”
story_362,"“하지만, 나는 개입할 수 없다.”",“But I cannot intervene.”,「だが、私は介入できない。」,“但我无法插手。”
story_363,“...왜요?”,“...Why?”,「……なぜですか？」,“……为什么？”
story_364,“그건...‘경계’의 문제이기 때문이다.”,“Because it lies beyond my domain.”,「それは……『境界』の問題だからだ。」,“因为这牵涉到‘界限’的问题。”
story_365,"“너희의 기억은, 이미...”",“Your memories have already...”,「お前たちの記憶は、すでに……」,“你们的记忆，早已经……”
story_366,“명계에 묻혀 있으니.”,“...been buried in the Underworld.”,「……冥界に埋もれているのだからな。」,“……埋葬于冥界之中了。”
story_367,“명계...”,“The Underworld...”,「冥界……」,“冥界……”
story_368,(천계에 이어 명계라니...),"(First the Heavenly Realm, and now the Underworld...?)",（天界の次は、今度は冥界……？）,（刚来到天界，现在又要去冥界吗……？）
story_369,“그곳에 가거라.”,“Go there.”,「そこへ行くがいい。」,“去那里吧。”
story_370,“잃어버린 것을 되찾고...스스로 선택해라.”,“Recover what was lost... and make your own choice.”,「失ったものを取り戻し……自ら選ぶのだ。」,“找回失去之物……然后由你们自己做出选择。”
story_371,"“...끊을 것인지, 이어갈 것인지.”","“...Whether to sever it, or continue it.”",「……断つのか、繋ぎ続けるのかをな。」,“……是将其斩断，还是继续维系下去。”
select_6_1,...연결을 끊고 싶어요.,...I want to break the connection.,……この繋がりを断ちたいです。,……我想斩断这份联系。
select_6_2,기억을 되찾고 싶어요.,I want to recover my memories.,記憶を取り戻したいです。,我想找回我的记忆。
select_6_3,...모르겠어요.,...I don't know.,……分かりません。,……我不知道。
story_372,"“...이런 건, 원하지 않았어요.”",“...This isn't what I wanted.”,「……こんなの、望んでいたわけじゃありません。」,“……我从没希望事情变成这样。”
story_373,"“끊을 수 있다면, 끊고 싶어요.”","“If it can be severed, then I want to end it.”",「断てるのなら、断ちたいです。」,“如果能够斩断的话，我想结束这一切。”
story_374,그가 조용히 고개를 끄덕이며 말했다.,He quietly nodded.,彼は静かに頷いた。,他静静地点了点头。
story_375,“...그래.”,“...Alright.”,「……そうか。」,“……这样啊。”
story_376,"“네가 원한다면, 그렇게 하자.”","“If that's what you want, then we'll do that.”",「君がそう望むなら、その通りにしよう。」,“如果这是你的选择，那就这么做吧。”
story_377,그의 감정이 미세하게 흔들리는 것이 느껴졌다.,I felt a faint ripple in his emotions.,彼の感情がわずかに揺らいだのを感じた。,我感觉到他的情绪微微动摇了一下。
story_378,“신님도 계속 이런 상태라면 불편할 거예요.”,"“This can't be comfortable for you either, can it?”",「神様だって、こんな状態が続けば困りますよね。」,“就算是神明大人，一直维持这种状态也会很困扰吧。”
story_379,그는 아무 말도 하지 않았지만,"He said nothing, but",彼は何も答えなかったけれど、,他什么都没有说，然而——
story_380,표정을 보자 왠지 모르게 가슴 한쪽이 아려왔다.,something in his expression made my chest ache.,その表情を見た瞬間、なぜだか胸の奥が痛んだ。,看到他的表情，不知为何心里隐隐作痛。
story_381,“...왜 제게...이런 일이 일어난 건지...알고 싶어요.”,“...I want to know why this happened to me...”,「……どうして私に……こんなことが起きたのか……知りたいです。」,“……我想知道……为什么这种事会发生在我身上……”
story_382,“...그래.”,“...I understand.”,「……そうか。」,“……这样啊。”
story_383,"“나도, 알고 싶구나.”","“I want to know as well, little one.”",「私も、知りたいと思っているよ、君。」,“我也想知道，孩子。”
story_384,"그가 조용히 웃었지만, 눈빛이 깊어졌다.","He smiled quietly, but something in his eyes grew more distant and thoughtful.",彼は静かに微笑んだが、その眼差しはどこか深く沈んでいた。,他静静地笑了笑，但眼神却变得愈发深沉。
story_385,“...이게 뭔지도 모르겠고...”,“...I don't even know what any of this means...”,「……何が何だか分からなくて……」,“……我连这一切究竟是什么都搞不明白……”
story_386,“너무...너무 혼란스러워요.”,“I'm just... so confused.”,「すごく……混乱しています。」,“我真的……太混乱了。”
story_387,“...괜찮다.”,“...It's alright.”,「……大丈夫だ。」,“……没关系。”
story_388,“천천히 생각해도 된단다.”,“You can take your time.”,「ゆっくり考えればいい。」,“慢慢想也没关系。”
story_389,"“...내가, 너와 함께 있을 테니.”","“...I'll be with you, little one.”",「……私が君のそばにいるから。」,“……因为我会陪在你身边。”
story_390,그가 걱정하는 듯이 나를 바라보았다.,He looked at me with quiet concern in his eyes.,彼は心配そうに私を見つめていた。,他带着担忧的神情望着我。
story_391,"“선택은, 언제나 늦지 않는다.”",“A choice is never made too late.”,「選択は、決して遅すぎることはない。」,“做出选择，永远不会太迟。”
story_392,"“하지만...대가는, 반드시 따르지.”",“But every choice carries a price.”,「だが……代償は、必ず伴う。」,“但代价……必然会随之而来。”
story_393,“...가거라.”,“...Go.”,「……行くがよい。」,“……去吧。”
story_394,천제가 손을 뻗자 빛이 번지듯,"As the Heavenly Emperor extended his hand, light spread outward.",天帝が手を差し伸べると、光が広がるように,天帝伸出手的瞬间，光芒如涟漪般扩散开来。
story_395,시야가 흐려졌다.,My vision blurred.,視界が霞んだ。,我的视野逐渐模糊。
story_396,"달빛 아래,","Beneath the moonlight,",月明かりの下、,月光之下，
story_397,우리는 말없이 서 있었다.,we stood in silence.,私たちは黙ったまま立ち尽くしていた。,我们静静地站在那里。
story_398,천계에 다녀온 뒤로 가슴 한구석이 계속 답답하게 아려 왔다.,"Ever since returning from the Heavenly Realm, a dull ache lingered deep within my chest.",天界から戻ってきてからというもの、胸の奥がずっと重く痛んでいた。,自从从天界回来之后，胸口深处始终隐隐作痛。
story_399,(이건 도대체...),(What is this...?),（これは一体……）,（这到底是……）
story_552,(누구의 감정인 거야...),(Whose feelings are these...?),（誰の感情なんだろう……）,（这究竟是谁的感情……）
story_400,이 감정이 그의 것인지... 내 것인지...,Whether these feelings belonged to him... or to me...,この感情が彼のものなのか……それとも私のものなのか……,这份感情究竟属于他……还是属于我……
story_401,도무지 알 수 없었다.,I had no way of knowing.,まるで分からなかった。,我完全分辨不出来。
story_402,"생각에 잠겨 있을 때, 그가 조용히 입을 열었다.","As I sat lost in thought, he quietly spoke.",考え込んでいると、彼が静かに口を開いた。,就在我陷入沉思的时候，他轻声开口了。
story_403,"“...날이 차구나, 아이야.”","“...The night is growing cold, little one.”",「……冷えてきたね、君。」,“……天有些凉了，孩子。”
story_404,"“명계에 가야 하니,”","“We still have to journey to the Underworld,”",「冥界へ行かなければならないし、」,“我们还得前往冥界，”
story_405,“지금은...일단 쉬자꾸나.”,"“...so for now, let us rest.”",「……今はひとまず休もう。」,“……现在还是先休息吧。”
story_406,나는 말없이 고개를 끄덕였다.,I nodded without a word.,私は黙って頷いた。,我默默地点了点头。
story_407,"그를 따라, 그의 신당 안으로 들어갔다.","Following him, I stepped into his shrine.",彼の後を追って、その神殿の中へ入っていった。,我跟在他的身后，走进了他的神殿。
story_408,가만히 앉아 천계에서 들었던 말들을 되새겼다.,"Sitting quietly, I replayed the words we had heard in the Heavenly Realm.",静かに座りながら、天界で聞いた言葉を思い返していた。,我静静坐着，反复回想着在天界听到的那些话。
story_409,(기억...연결...명계...),(Memories... the connection... the Underworld...),（記憶……繋がり……冥界……）,（记忆……联系……冥界……）
story_410,머릿속이 복잡하게 뒤엉킨다.,My thoughts tangled into a hopeless knot.,頭の中がぐちゃぐちゃに絡み合っていく。,脑海里的思绪乱成一团。
story_411,걱정과 불안이 천천히 마음을 짓눌렀다.,Worry and unease slowly weighed on my heart.,不安と戸惑いが、ゆっくりと胸を締めつけていく。,不安与忧虑一点点压在心头。
story_412,"그때, 그가 조용히 내 옆으로 다가왔다.","Just then, he quietly stepped over to my side.",その時、彼が静かに私の隣へやって来た。,就在这时，他静静地走到了我的身旁。
story_413,"부드러운 손길이, 내 머리 위에 닿았다.",A gentle hand came to rest atop my head.,優しい手が、そっと私の頭に触れた。,温柔的手掌，轻轻落在了我的头上。
story_414,“걱정이 많을 테지.”,"“You have a lot on your mind, don't you?”",「心配なことがたくさんあるんだろうね。」,“你一定有很多烦恼吧。”
story_415,"“...네 불안이, 전해지고 있단다.”",“...I can feel your anxiety.”,「……君の不安が伝わってくるんだ。」,“……你的不安，全都传过来了。”
story_416,"나는 아무 말도 하지 못한 채,","Unable to say anything,",私は何も言えないまま、,我一句话也说不出来，
story_417,그의 손길을 가만히 느끼고 있었다.,I quietly felt the warmth of his touch.,彼の優しい手の温もりを感じていた。,只是静静感受着他的触碰。
story_418,"이내 그가, 나에게 가까이 다가왔다.","Then, he slowly leaned closer.",やがて彼は、そっと私との距離を縮めた。,随后，他慢慢靠近了我。
story_419,“...?”,“...?”,「……？」,“……？”
story_420,"그의 얼굴이 점점 가까워지자,","As his face drew nearer and nearer,",彼の顔がだんだん近づいてきて、,随着他的脸越来越近，
story_421,놀라서 몸이 굳었다.,my whole body froze.,驚いて体が固まった。,我整个人都僵住了。
story_422,“...!”,“...!”,「……！」,“……！”
story_423,“...잠깐...!”,“...W-Wait...!”,「……ま、待って……！」,“……等、等一下……！”
story_424,당황한 나는 눈을 질끈 감았다.,"Flustered, I squeezed my eyes shut.",慌ててぎゅっと目を閉じた。,慌乱之下，我紧紧闭上了眼睛。
story_425,내 심장이 세차게 뛰기 시작했다.,My heart began pounding wildly.,胸が激しく高鳴り始めた。,我的心脏开始疯狂跳动。
story_426,“너무 걱정하지 말거라...”,“Don't worry so much...”,「そんなに心配しなくていい。」,“别那么担心……”
story_427,"그가 나를 조심스럽게, 그리고 부드럽게 끌어안으며","He drew me into a careful, gentle embrace.",彼は私をそっと抱き寄せた。,他小心而温柔地将我拥入怀中。
story_428,내 등을 천천히 토닥였다.,Slowly patting my back.,そしてゆっくりと背中を撫でた。,轻轻拍着我的后背。
story_429,(키스하려는 줄 알았어...!),(I thought he was going to kiss me...!),（キスされるのかと思った……！）,（我还以为他要亲我……！）
story_430,“......”,“......”,「……」,“……”
story_431,“...아이야.”,“...Little one.”,「……君。」,“……孩子。”
story_432,"“…지금, 무슨 생각을 하는 거니.”",“...What are you thinking about right now?”,「……今、何を考えているんだい？」,“……你现在，到底在想些什么呢？”
